Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_13_trace,32.30572509765625,Pass,494.053599357605,40000052,6237898,6.4124,4243961,36991,0.6804,0.0059,0.8716%,0.9248,1064785,28.7850,26.6196,20000052,3060787,6.5343,2111572,17419,0.6899,0.0057,0.8249%,0.8709,517035,29.6822,25.8517
int,int_14_trace,177.29002475738525,Pass,568.1217901706696,39999640,6990422,5.7221,7635435,15865,1.0923,0.0023,0.2078%,0.3966,403223,25.4159,10.0807,20999640,3398714,6.1787,3974167,6804,1.1693,0.0020,0.1712%,0.3240,155764,22.8930,7.4175
int,int_15_trace,98.1560001373291,Pass,1004.2192213535309,70000157,18505236,3.7827,9192864,33514,0.4968,0.0018,0.3646%,0.4788,1848008,55.1414,26.4001,35000157,9308065,3.7602,4669511,31756,0.5017,0.0034,0.6801%,0.9073,1472674,46.3747,42.0762
int,int_16_trace,128.2670030593872,Pass,633.5621972084045,40000031,19002465,2.1050,6733574,325011,0.3544,0.0171,4.8267%,8.1253,7284591,22.4134,182.1146,20000031,8150209,2.4539,3364149,168450,0.4128,0.0207,5.0072%,8.4225,3622888,21.5072,181.1441
int,int_17_trace,128.60758018493652,Pass,573.2515873908997,39999987,16627232,2.4057,6659971,255794,0.4005,0.0154,3.8408%,6.3949,5862475,22.9187,146.5619,20999987,6695060,3.1366,3432362,119801,0.5127,0.0179,3.4903%,5.7048,2634785,21.9930,125.4660
int,int_18_trace,108.31880569458008,Pass,679.8089725971222,39999864,10814890,3.6986,9457814,33897,0.8745,0.0031,0.3584%,0.8474,1507895,44.4846,37.6975,20999864,5166198,4.0649,4985263,14726,0.9650,0.0029,0.2954%,0.7012,599804,40.7310,28.5623
int,int_19_trace,184.28955841064453,Pass,651.84055519104,40000052,8021952,4.9863,5852871,33928,0.7296,0.0042,0.5797%,0.8482,1436022,42.3256,35.9005,20000052,3785747,5.2830,2929049,13244,0.7737,0.0035,0.4522%,0.6622,604591,45.6502,30.2295
int,int_1_trace,92.84952068328857,Pass,472.4977045059204,30000052,18836926,1.5926,5301134,349374,0.2814,0.0185,6.5906%,11.6458,14889272,42.6170,496.3082,15000052,8984253,1.6696,2642836,173474,0.2942,0.0193,6.5639%,11.5649,7045071,40.6117,469.6698
int,int_20_trace,187.00185585021973,Pass,952.4720375537872,60000051,17325628,3.4631,9561405,167471,0.5519,0.0097,1.7515%,2.7912,5291208,31.5948,88.1867,30000051,7185699,4.1750,4877083,80459,0.6787,0.0112,1.6497%,2.6820,2245702,27.9111,74.8566
int,int_21_trace,91.63193035125732,Pass,571.8403120040894,40000052,46437161,0.8614,9059172,966011,0.1951,0.0208,10.6633%,24.1502,41560537,43.0228,1039.0121,20000052,22847486,0.8754,4504449,495434,0.1972,0.0217,10.9988%,24.7716,20377013,41.1296,1018.8480
int,int_22_trace,96.68442058563232,Pass,741.4042477607727,40000052,23128965,1.7294,6671960,215859,0.2885,0.0093,3.2353%,5.3965,15759085,73.0064,393.9766,20000052,11435064,1.7490,3314359,108124,0.2898,0.0095,3.2623%,5.4062,7791228,72.0583,389.5604
int,int_23_trace,182.35865116119385,Pass,662.4551057815552,40000052,18507313,2.1613,5329093,139295,0.2879,0.0075,2.6139%,3.4824,6336006,45.4862,158.3999,20000052,8603665,2.3246,2669216,67286,0.3102,0.0078,2.5208%,3.3643,2704024,40.1870,135.2008
int,int_24_trace,145.24023818969727,Pass,765.049699306488,40000051,14575551,2.7443,8385203,22650,0.5753,0.0016,0.2701%,0.5662,2691771,118.8420,67.2942,20000051,6920939,2.8898,4599578,9644,0.6646,0.0014,0.2097%,0.4822,1171876,121.5135,58.5937
int,int_25_trace,169.04896354675293,Pass,596.8481857776642,40000052,7682478,5.2067,2766410,52971,0.3601,0.0069,1.9148%,1.3243,1998583,37.7298,49.9645,20000052,4236984,4.7204,1541724,45923,0.3639,0.0108,2.9787%,2.2961,1528117,33.2756,76.4057
int,int_26_trace,197.17267227172852,Pass,633.3250825405121,40000052,6816682,5.8680,2130479,53507,0.3125,0.0078,2.5115%,1.3377,1803880,33.7130,45.0969,20000052,3197573,6.2548,1067816,24833,0.3339,0.0078,2.3256%,1.2416,856473,34.4893,42.8235
int,int_27_trace,219.70562553405762,Pass,629.4873955249786,40000052,6374047,6.2755,1891315,34912,0.2967,0.0055,1.8459%,0.8728,1147995,32.8825,28.6998,20000052,2956504,6.7648,940632,14946,0.3182,0.0051,1.5889%,0.7473,511005,34.1901,25.5502
int,int_28_trace,185.9219560623169,Pass,568.3478529453278,40000052,8459793,4.7283,4006233,146982,0.4736,0.0174,3.6688%,3.6745,3712007,25.2548,92.8001,20000052,4108393,4.8681,1994428,68750,0.4855,0.0167,3.4471%,3.4375,1767462,25.7085,88.3729
int,int_29_trace,181.88746547698975,Pass,570.1590139865875,40000052,15947770,2.5082,4048870,498290,0.2539,0.0312,12.3069%,12.4572,12090376,24.2637,302.2590,20000052,7726128,2.5886,2031315,242643,0.2629,0.0314,11.9451%,12.1321,5829744,24.0260,291.4864
int,int_2_trace,94.08823490142822,Pass,485.5595951080322,30000052,18874188,1.5895,5366311,328957,0.2843,0.0174,6.1300%,10.9652,14890109,45.2646,496.3361,15000052,8824571,1.6998,2681980,162442,0.3039,0.0184,6.0568%,10.8294,6869980,42.2919,457.9971
int,int_30_trace,182.9177484512329,Pass,604.6846323013306,40000052,16300972,2.4538,4219863,517710,0.2589,0.0318,12.2684%,12.9427,12402976,23.9574,310.0740,20000052,7917386,2.5261,2099953,251288,0.2652,0.0317,11.9664%,12.5644,5997607,23.8675,299.8796
int,int_31_trace,118.0513105392456,Pass,592.0404880046844,40000052,4697945,8.5144,4773947,33645,1.0162,0.0072,0.7048%,0.8411,645702,19.1916,16.1425,20000052,2233916,8.9529,2359187,12716,1.0561,0.0057,0.5390%,0.6358,245072,19.2727,12.2536
int,int_32_trace,317.2076416015625,Pass,1050.2571008205414,110000052,86305978,1.2745,12636052,765057,0.1464,0.0089,6.0546%,6.9551,74230805,97.0265,674.8252,55000052,37976425,1.4483,6322521,377771,0.1665,0.0099,5.9750%,6.8686,32008519,84.7300,581.9725
int,int_33_trace,310.41816425323486,Pass,1317.5260050296783,110000052,54219198,2.0288,16062450,878648,0.2963,0.0162,5.4702%,7.9877,42543361,48.4191,386.7576,55000052,26259136,2.0945,7710997,449296,0.2937,0.0171,5.8267%,8.1690,20555491,45.7504,373.7358
int,int_34_trace,112.3776216506958,Pass,247.99576950073242,40000052,11174604,3.5795,6380286,122813,0.5710,0.0110,1.9249%,3.0703,5660656,46.0917,141.5162,20000052,4948130,4.0419,3101677,63963,0.6268,0.0129,2.0622%,3.1981,2552654,39.9083,127.6324
int,int_35_trace,119.88736820220947,Pass,551.3196294307709,40000048,11505122,3.4767,5671843,98587,0.4930,0.0086,1.7382%,2.4647,5351729,54.2843,133.7931,20000048,5550292,3.6034,2842811,46800,0.5122,0.0084,1.6463%,2.3400,2514285,53.7240,125.7139
int,int_36_trace,201.8018684387207,Pass,788.9769294261932,53761949,35582808,1.5109,7755130,214083,0.2179,0.0060,2.7605%,3.9821,9785315,45.7080,182.0119,27761949,15416302,1.8008,4116890,105728,0.2670,0.0069,2.5682%,3.8084,4379410,41.4215,157.7487
int,int_3_trace,96.88034057617188,Pass,630.7233583927155,40000052,7066304,5.6607,4722773,35272,0.6684,0.0050,0.7468%,0.8818,1008519,28.5926,25.2129,20000052,3575747,5.5933,2249610,19797,0.6291,0.0055,0.8800%,0.9898,495526,25.0304,24.7762
int,int_4_trace,188.2430238723755,Pass,687.4804570674896,59999657,13829330,4.3386,7683892,248274,0.5556,0.0180,3.2311%,4.1379,5335629,21.4909,88.9277,30999657,6905948,4.4888,4061423,124484,0.5881,0.0180,3.0650%,4.0157,2633781,21.1576,84.9616
int,int_5_trace,138.47165870666504,Pass,560.2693474292755,30000052,6651431,4.5103,2565027,85651,0.3856,0.0129,3.3392%,2.8550,3097648,36.1659,103.2548,15000052,3316396,4.5230,1297750,42168,0.3913,0.0127,3.2493%,2.8112,1554099,36.8549,103.6062
int,int_6_trace,130.25432968139648,Pass,399.69752621650696,30000052,7614002,3.9401,3119970,88751,0.4098,0.0117,2.8446%,2.9584,3927712,44.2554,130.9235,15000052,3754171,3.9956,1567043,43259,0.4174,0.0115,2.7605%,2.8839,1942299,44.8993,129.4862
int,int_7_trace,128.17397212982178,Pass,594.4753694534302,40000048,14743504,2.7131,5944145,230358,0.4032,0.0156,3.8754%,5.7589,5321871,23.1026,133.0466,20000048,6326865,3.1611,3000751,112073,0.4743,0.0177,3.7348%,5.6036,2479237,22.1216,123.9616
int,int_8_trace,137.59827327728271,Pass,362.46392607688904,40000052,16330173,2.4495,5678944,287725,0.3478,0.0176,5.0665%,7.1931,6643711,23.0905,166.0926,20000052,6563378,3.0472,2813189,132305,0.4286,0.0202,4.7030%,6.6152,2959565,22.3693,147.9779
int,int_9_trace,152.5840139389038,Pass,429.4478859901428,40000050,14340761,2.7893,5800876,194221,0.4045,0.0135,3.3481%,4.8555,4532877,23.3388,113.3218,20000050,6022157,3.3211,2893544,92491,0.4805,0.0154,3.1965%,4.6245,2101083,22.7166,105.0539
